sr_no,sample_id,lithology,latitude,longitude,li_ppm,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,gsi_stage,district,state,sample_type
26,BR-26,Leucogranite,22.5247,82.5764,250.01,23.82,17.1,455.71,2.65,13.24,5.61,2.63,,14.48,29.58,3.29,12.06,0.63,3.02,2.63,0.55,2.86,0.51,1.43,0.25,1.27,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
27,BR-27,Leucogranite,22.5239,82.5512,184.87,35.96,9.78,401.18,1.28,9.04,4.97,2.57,,11.77,23.1,2.77,9.66,0.48,2.89,2.77,0.6,3.26,0.53,1.36,0.27,1.21,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
28,BR-28,Leucogranite,22.523,82.5531,239.17,59.93,27.17,554.83,4.86,21.23,5.05,2.2,,15.78,31.63,3.63,13.95,0.74,3.66,4.05,0.79,4.47,0.75,1.8,0.3,1.54,0.22,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
29,BR-29,Leucogranite,22.5236,82.5558,301.61,55.38,25.14,510.73,4.27,18.53,3.43,2.64,,14.19,29.26,3.37,12.67,0.74,3.81,4.3,1.05,6.68,1.27,3.61,0.7,4.13,0.57,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
30,BR-30,Leucogranite,22.5239,82.5567,227.94,30.88,12.64,436.06,3.61,16.41,5.08,3.49,,14.13,28.28,3.2,12.18,0.73,3.42,3.37,0.7,4.03,0.74,1.82,0.3,1.55,0.23,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
31,BR-31,Leucogranite,22.5241,82.56,223.62,52.75,15.89,443.77,3.76,17.39,4.3,3.07,0.65,14.87,28.29,3.5,12.95,0.76,3.54,4.05,0.83,4.78,0.8,1.91,0.31,1.56,0.23,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
32,BR-32,Leucogranite,22.5232,82.5611,248.91,54.76,12.84,469.71,4.46,19.23,4.62,3.09,,14.94,32.45,3.54,13.2,0.71,3.69,3.66,0.85,5.25,1.0,3.07,0.56,3.37,0.53,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
33,BR-33,Leucogranite,22.524,82.5646,219.86,114.71,15.81,561.5,6.04,15.68,5.27,2.22,,9.48,19.54,2.17,7.72,0.46,2.16,1.99,0.46,2.62,0.46,1.2,0.24,1.09,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
34,BR-34,Leucogranite,22.5239,82.5663,292.92,53.61,18.17,516.69,3.1,16.07,5.82,2.06,,32.99,65.96,7.58,26.96,0.84,5.87,5.03,0.9,4.33,0.67,1.8,0.28,1.36,0.2,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
35,BR-35,Leucogranite,22.5241,82.5692,276.6,59.22,15.21,512.29,4.29,17.0,7.02,2.74,0.5,13.35,25.92,3.13,11.51,0.59,3.04,2.7,0.59,3.14,0.53,1.28,0.28,1.21,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
36,BR-36,Leucogranite,22.5236,82.5703,252.86,46.88,11.86,488.37,2.73,14.29,6.97,2.88,0.57,11.87,24.32,2.86,10.55,0.59,2.92,2.8,0.62,3.14,0.53,1.33,0.25,1.27,0.16,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
37,BR-37,Leucogranite,22.5228,82.5733,207.83,53.05,19.18,588.22,2.77,13.47,5.7,1.34,0.68,12.49,25.13,2.93,10.86,0.64,3.02,2.93,0.61,3.35,0.56,1.48,0.26,1.39,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
38,BR-38,Leucogranite,22.5223,82.5753,190.55,32.58,15.95,522.84,2.74,12.65,4.78,1.92,,12.31,24.12,2.86,10.31,0.58,2.72,2.53,0.48,2.5,0.42,1.11,0.21,0.88,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
39,BR-39,Leucogranite,22.5231,82.5768,268.07,52.7,11.47,502.63,2.43,13.39,7.47,3.08,,11.3,22.61,2.68,9.38,0.64,2.73,2.74,0.53,2.87,0.47,1.3,0.21,1.16,0.16,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
40,BR-40,Leucogranite,22.5221,82.5509,261.77,95.75,12.2,502.13,2.65,12.22,5.48,2.55,0.6,11.88,23.68,2.77,10.12,0.65,2.67,2.63,0.49,2.61,0.41,1.15,0.2,0.92,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
41,BR-41,Leucogranite,22.5215,82.5525,209.62,50.2,9.86,490.69,2.54,12.97,5.2,4.84,,13.12,26.76,3.12,11.35,0.6,2.89,2.79,0.57,2.86,0.5,1.25,0.21,0.95,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
42,BR-42,Leucogranite,22.5214,82.5543,263.61,83.29,31.75,585.58,4.95,17.88,4.41,2.31,0.89,15.84,31.88,3.7,13.87,0.78,3.77,3.76,0.83,4.58,0.76,1.94,0.34,1.65,0.23,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
43,BR-44,Leucogranite,22.5206,82.5586,256.87,69.18,17.47,558.07,6.77,29.65,5.25,2.4,,16.54,32.67,3.85,14.51,0.76,4.0,3.98,0.87,4.9,0.85,1.97,0.32,1.67,0.24,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
44,BR-46,Leucogranite,22.5217,82.5642,298.12,69.06,11.95,474.46,3.75,15.38,5.64,2.81,,10.77,21.01,2.5,8.86,0.58,2.54,2.53,0.57,3.2,0.51,1.39,0.24,1.31,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
45,BR-48,Leucogranite,22.5209,82.5682,229.24,83.91,12.03,536.98,4.48,13.79,5.87,1.64,,10.16,21.97,2.52,9.57,0.56,3.14,3.38,0.84,5.03,0.85,2.17,0.34,1.95,0.27,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
46,BR-49,Leucogranite,22.5206,82.5713,229.41,49.35,11.85,466.8,3.39,16.57,6.59,1.89,,11.93,23.63,2.8,10.09,0.52,2.81,2.8,0.52,3.09,0.5,1.32,0.23,1.27,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
47,BR-50,Leucogranite,22.5201,82.5729,229.25,88.01,31.3,514.6,3.09,15.12,5.62,2.66,0.6,10.63,21.16,2.49,9.09,0.52,2.46,2.39,0.51,2.65,0.41,1.21,0.2,1.06,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
48,BR-51,Leucogranite,22.5214,82.5752,269.3,30.24,9.71,489.6,1.91,12.29,3.65,1.02,0.64,11.62,23.47,2.79,10.29,0.58,3.0,2.92,0.59,3.39,0.56,1.42,0.24,1.26,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
49,BR-52,Leucogranite,22.5214,82.5772,260.52,54.73,26.45,552.77,3.61,12.42,6.53,2.58,0.58,12.34,25.41,2.96,10.46,0.61,2.9,2.77,0.56,3.09,0.51,1.31,0.25,1.18,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
50,BR-53,Leucogranite,22.5194,82.5497,167.03,28.47,8.68,444.57,0.87,5.81,4.09,1.5,0.59,13.0,24.2,2.84,10.14,0.55,2.82,2.57,0.55,3.05,0.51,1.38,0.24,1.26,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
51,BR-55,Leucogranite,22.5194,82.5558,258.81,86.63,22.93,494.55,7.13,19.54,5.3,2.82,,23.89,67.91,5.23,18.77,0.77,4.57,4.35,0.8,4.58,0.71,1.87,0.32,1.59,0.23,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
52,BR-56,Leucogranite,22.5194,82.5567,284.08,65.83,37.35,466.99,4.28,18.49,4.02,3.25,,15.0,28.22,3.38,12.32,0.71,3.43,3.2,0.66,3.82,0.6,1.61,0.29,1.32,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
53,BR-57,Leucogranite,22.5194,82.5586,287.7,76.18,17.62,515.47,4.35,19.03,5.85,4.06,,16.2,32.85,3.96,14.67,0.8,4.03,3.55,0.75,3.94,0.6,1.55,0.28,1.25,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
54,BR-59,Leucogranite,22.5193,82.5646,187.1,62.96,9.52,500.0,1.81,6.49,3.92,1.32,0.57,10.75,20.54,2.53,9.15,0.59,2.59,2.69,0.57,3.21,0.49,1.32,0.25,1.22,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
55,BR-60,Leucogranite,22.5181,82.5658,229.19,53.34,14.87,468.44,3.37,15.71,4.95,3.8,,13.25,25.92,3.11,11.49,0.66,3.23,2.91,0.64,3.67,0.59,1.53,0.42,1.35,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
56,BR-62,Leucogranite,22.5186,82.5714,252.53,77.33,79.96,603.95,3.03,14.59,6.13,1.83,0.61,9.74,19.42,2.25,8.28,0.44,2.36,2.43,0.57,3.1,0.54,1.36,0.27,1.35,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
57,BR-63,Leucogranite,22.5191,82.5732,197.28,57.67,11.01,469.58,2.17,13.14,5.39,2.0,0.58,9.05,17.52,2.13,7.59,0.45,2.3,2.31,0.52,3.0,0.52,1.4,0.24,1.27,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
58,BR-64,Leucogranite,22.5186,82.5762,189.52,47.82,13.64,458.28,3.69,14.75,5.05,2.38,,12.64,24.69,2.89,10.19,0.57,2.76,2.48,0.49,2.61,0.43,1.13,0.18,0.99,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
59,BR-65,Leucogranite,22.5192,82.5783,266.67,116.98,9.99,592.68,3.58,13.15,9.93,3.09,0.93,12.08,28.08,2.88,10.38,0.53,2.99,2.86,0.6,3.15,0.51,1.31,0.24,1.19,0.16,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
60,BR-68,Leucogranite,22.5167,82.5544,372.41,88.94,17.28,643.95,5.43,23.14,7.49,2.22,0.55,14.48,28.97,3.48,12.76,0.69,3.66,3.72,0.8,4.42,0.75,1.75,0.28,1.59,0.2,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
61,BR-69,Leucogranite,22.5168,82.5564,303.34,223.82,12.36,672.32,4.61,17.37,6.86,2.22,0.76,14.35,28.38,3.36,12.47,0.68,3.44,3.5,0.74,4.4,0.75,2.04,0.35,1.77,0.25,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
62,BR-70,Leucogranite,22.5156,82.5592,391.59,123.81,12.22,480.32,4.12,16.94,7.25,4.7,0.67,16.38,52.25,3.78,13.37,0.59,3.76,3.46,0.7,3.88,0.61,1.52,0.29,1.43,0.2,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
63,BR-73,Leucogranite,22.5167,82.5667,198.46,60.26,10.21,446.45,3.78,15.85,3.69,2.15,,9.57,18.76,2.22,8.14,0.52,2.35,2.46,0.54,3.11,0.52,1.36,0.22,1.22,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
64,BR-75,Leucogranite,22.5167,82.5701,201.15,42.84,11.68,400.77,2.61,12.12,4.16,2.41,,8.1,16.09,1.92,6.49,0.46,2.09,2.13,0.44,2.72,0.44,1.18,0.2,1.04,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
65,BR-76,Leucogranite,22.5167,82.5739,329.0,106.18,9.82,476.68,3.32,14.58,7.94,4.12,,14.2,21.15,3.03,11.26,0.64,3.13,2.84,0.62,3.35,0.57,1.5,0.35,1.38,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
66,BR-77,Leucogranite,22.5172,82.5757,278.36,52.13,21.68,507.77,2.83,12.69,7.06,2.18,0.78,11.92,20.88,2.71,9.62,0.5,2.87,2.65,0.58,3.24,0.51,1.34,0.24,1.23,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
67,BR-78,Leucogranite,22.5164,82.5775,215.16,40.79,9.52,427.31,1.99,11.7,5.1,2.18,,6.38,15.28,1.54,5.91,0.42,1.72,1.68,0.35,1.97,0.3,0.8,0.16,0.86,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
68,BR-84,Leucogranite,22.5148,82.5619,254.78,78.71,25.01,597.86,7.05,20.79,6.6,2.21,0.55,13.68,27.28,3.24,11.94,0.69,3.39,3.46,0.73,4.11,0.68,1.77,0.29,1.51,0.22,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
69,BR-87,Leucogranite,22.5144,82.5692,213.03,54.39,11.48,567.64,2.87,15.05,4.47,2.67,,8.52,16.06,1.96,6.84,0.42,2.1,1.98,0.45,2.42,0.39,1.01,0.22,1.03,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
70,BR-88,Leucogranite,22.5134,82.5711,236.02,45.7,10.14,470.35,2.36,12.29,6.37,2.49,,10.83,21.52,2.5,8.63,0.46,2.32,2.53,0.5,2.94,0.46,1.21,0.23,1.06,0.16,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
71,BR-90,Leucogranite,22.5149,82.5759,246.48,45.34,12.47,597.78,3.33,16.38,5.21,2.17,,12.61,24.84,2.9,10.47,0.58,3.0,2.95,0.61,3.57,0.56,1.47,0.28,1.27,0.17,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
72,BR-91,Leucogranite,22.5153,82.5783,248.68,63.18,10.98,554.74,2.67,13.21,6.46,2.35,0.6,12.8,25.05,3.06,10.5,0.55,3.19,2.95,0.66,3.57,0.57,1.51,0.28,1.4,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
73,BR-103,Leucogranite,22.5128,82.5757,234.79,44.49,12.36,598.17,2.75,16.58,5.63,2.02,0.66,12.52,25.08,2.87,10.4,0.63,3.08,3.26,0.66,4.05,0.69,1.83,0.3,1.56,0.22,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
74,CH-98,Leucogranite,22.5228,82.5517,300.0,51.28,16.41,207.94,5.09,17.68,2.7,2.26,,11.05,21.93,2.54,9.31,0.51,2.98,2.28,0.48,2.62,0.43,1.05,0.17,1.01,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
75,CH-113A,Leucogranite,22.5206,82.5521,295.0,42.63,21.05,199.27,7.37,20.74,2.21,2.97,,9.79,19.98,2.27,8.31,0.53,2.08,2.04,0.4,2.13,0.37,0.86,0.14,0.83,0.12,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
76,CH-113B,Leucogranite,22.5206,82.5521,450.0,58.28,15.18,228.51,4.41,30.9,5.47,6.9,,13.85,29.61,3.32,13.12,0.49,3.55,3.12,0.66,3.6,0.54,1.27,0.19,1.12,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
77,CH-115,Leucogranite,22.5221,82.5503,375.0,57.39,12.21,226.37,4.08,25.02,6.27,7.25,0.98,12.41,26.35,2.93,10.36,0.37,2.75,2.45,0.49,2.79,0.46,1.1,0.19,1.08,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
78,CH-137,Leucogranite,22.5226,82.5513,350.0,34.58,32.08,354.0,4.31,21.78,11.64,2.89,,12.63,24.95,2.87,10.19,0.61,2.65,2.57,0.44,2.58,0.45,0.88,0.17,0.99,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
79,CH-138,Leucogranite,22.5226,82.5513,300.0,36.38,25.56,314.6,3.8,15.18,15.67,1.9,0.52,12.14,23.2,2.74,9.77,0.54,2.74,2.38,0.45,2.56,0.41,0.88,0.14,0.87,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
80,CH-142,Leucogranite,22.5226,82.5513,470.0,38.61,33.49,416.21,3.58,33.1,7.44,3.74,,14.57,26.99,3.28,11.23,0.39,3.03,2.67,0.48,2.69,0.44,0.77,0.14,1.0,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
